relative_time,data_id,co2_concentration,brix,out_temperature,in_temperature,ph,pressure_upper,pressure_lower,batch_id
5160.0,770.0,27777.0,0.0,28.125,28.125,0.0,1006.4077,0.0,5.0
5220.0,771.0,27908.0,0.0,28.125,28.125,0.0,1006.3853,0.0,5.0
5280.0,772.0,28022.0,0.0,28.125,28.125,0.0,1006.3646,0.0,5.0
5340.0,773.0,28150.0,0.0,28.187,28.187,0.0,1006.4678,0.0,5.0
5400.0,774.0,28267.0,0.0,28.187,28.187,0.0,1006.4776,0.0,5.0
5460.0,775.0,28406.0,0.0,28.125,28.125,0.0,1006.3812,0.0,5.0
5520.0,776.0,28515.0,0.0,28.125,28.125,0.0,1006.4594,0.0,5.0
5580.0,777.0,28652.0,0.0,28.187,28.187,0.0,1006.3884,0.0,5.0
5640.0,778.0,28772.0,0.0,28.125,28.125,0.0,1006.566,0.0,5.0
5700.0,779.0,28891.0,0.0,28.125,28.125,0.0,1006.6187,0.0,5.0
5760.0,780.0,28979.0,0.0,28.187,28.187,0.0,1006.5484,0.0,5.0
5820.0,781.0,29080.0,0.0,28.125,28.125,0.0,1006.6284,0.0,5.0
5880.0,782.0,29205.0,0.0,28.187,28.187,0.0,1006.7127,0.0,5.0
5940.0,783.0,29301.0,0.0,28.125,28.125,0.0,1006.4454,0.0,5.0
6000.0,784.0,29411.0,0.0,28.187,28.187,0.0,1006.3578,0.0,5.0
6060.0,785.0,29516.0,0.0,28.187,28.187,0.0,1006.5017,0.0,5.0
6120.0,786.0,29602.0,0.0,28.187,28.187,0.0,1006.6194,0.0,5.0
6180.0,787.0,29707.0,0.0,28.187,28.187,0.0,1006.4814,0.0,5.0
6240.0,788.0,29819.0,0.0,28.125,28.125,0.0,1006.585,0.0,5.0
6300.0,789.0,29897.0,0.0,28.187,28.187,0.0,1006.4687,0.0,5.0
6360.0,790.0,30005.0,0.0,28.187,28.187,0.0,1006.5164,0.0,5.0
6420.0,791.0,30156.0,0.0,28.187,28.187,0.0,1006.6594,0.0,5.0
6480.0,792.0,30258.0,0.0,28.187,28.187,0.0,1006.5456,0.0,5.0
6540.0,793.0,30383.0,0.0,28.187,28.187,0.0,1006.5234,0.0,5.0
6600.0,794.0,30515.0,0.0,28.25,28.25,0.0,1006.7707,0.0,5.0
6660.0,795.0,30677.0,0.0,28.25,28.25,0.0,1006.5429,0.0,5.0
6720.0,796.0,30806.0,0.0,28.25,28.25,0.0,1006.4803,0.0,5.0
6780.0,797.0,30940.0,0.0,28.187,28.187,0.0,1006.7014,0.0,5.0
6840.0,798.0,31060.0,0.0,28.187,28.187,0.0,1006.7066,0.0,5.0
6900.0,799.0,31204.0,0.0,28.25,28.25,0.0,1006.6276,0.0,5.0
6960.0,800.0,31367.0,0.0,28.25,28.25,0.0,1006.7538,0.0,5.0
7020.0,801.0,31487.0,0.0,28.25,28.25,0.0,1006.5154,0.0,5.0
7080.0,802.0,31648.0,0.0,28.25,28.25,0.0,1006.6497,0.0,5.0
7140.0,803.0,31688.0,0.0,28.312,28.312,0.0,1006.701,0.0,5.0
7200.0,804.0,31753.0,0.0,28.312,28.312,0.0,1006.4549,0.0,5.0
7260.0,805.0,31730.0,0.0,28.375,28.375,0.0,1006.623,0.0,5.0
7320.0,806.0,31771.0,0.0,28.25,28.25,0.0,1006.5683,0.0,5.0
7380.0,807.0,31856.0,0.0,28.312,28.312,0.0,1006.5625,0.0,5.0
7440.0,808.0,31944.0,0.0,28.312,28.312,0.0,1006.5281,0.0,5.0
7500.0,809.0,32052.0,0.0,28.375,28.375,0.0,1006.4235,0.0,5.0
7560.0,810.0,32168.0,0.0,28.312,28.312,0.0,1006.3714,0.0,5.0
7620.0,811.0,32274.0,0.0,28.375,28.375,0.0,1006.4986,0.0,5.0
